                    * webspice studio — generated netlist
                    Transient Analysis  Wed Jul  8 16:32:54  2026
--------------------------------------------------------------------------------
Index   time            V(1)            V(2)            time            
--------------------------------------------------------------------------------
0	0.000000e+00	-6.74915e-22	0.000000e+00	0.000000e+00	
1	1.000000e-07	1.806942e-06	3.141592e-03	1.000000e-07	
2	2.000000e-07	3.846938e-06	6.283184e-03	2.000000e-07	
3	4.000000e-07	8.750002e-06	1.256636e-02	4.000000e-07	
4	8.000000e-07	2.296082e-05	2.513264e-02	8.000000e-07	
5	1.600000e-06	8.343477e-05	5.026464e-02	1.600000e-06	
6	3.200000e-06	6.512948e-04	1.005242e-01	3.200000e-06	
7	6.400000e-06	1.711773e-02	2.010077e-01	6.400000e-06	
8	1.280000e-05	1.600077e-01	4.016905e-01	1.280000e-05	
9	2.280000e-05	4.456556e-01	7.138357e-01	2.280000e-05	
10	3.280000e-05	7.416630e-01	1.023164e+00	3.280000e-05	
11	4.280000e-05	1.037995e+00	1.328454e+00	4.280000e-05	
12	5.280000e-05	1.331851e+00	1.628501e+00	5.280000e-05	
13	6.280000e-05	1.620526e+00	1.922121e+00	6.280000e-05	
14	7.280000e-05	1.902430e+00	2.208156e+00	7.280000e-05	
15	8.280000e-05	2.176276e+00	2.485476e+00	8.280000e-05	
16	9.280000e-05	2.440823e+00	2.752987e+00	9.280000e-05	
17	1.028000e-04	2.694910e+00	3.009633e+00	1.028000e-04	
18	1.128000e-04	2.937450e+00	3.254401e+00	1.128000e-04	
19	1.228000e-04	3.167426e+00	3.486326e+00	1.228000e-04	
20	1.328000e-04	3.383883e+00	3.704492e+00	1.328000e-04	
21	1.428000e-04	3.585929e+00	3.908038e+00	1.428000e-04	
22	1.528000e-04	3.772738e+00	4.096161e+00	1.528000e-04	
23	1.628000e-04	3.943550e+00	4.268118e+00	1.628000e-04	
24	1.728000e-04	4.097671e+00	4.423230e+00	1.728000e-04	
25	1.828000e-04	4.234478e+00	4.560887e+00	1.828000e-04	
26	1.928000e-04	4.353419e+00	4.680543e+00	1.928000e-04	
27	2.028000e-04	4.454012e+00	4.781728e+00	2.028000e-04	
28	2.128000e-04	4.535855e+00	4.864041e+00	2.128000e-04	
29	2.228000e-04	4.598616e+00	4.927158e+00	2.228000e-04	
