                    * webspice studio — generated netlist
                    Transient Analysis  Wed Jul  8 16:45:50  2026
--------------------------------------------------------------------------------
Index   time            v1#branch       vin             vout            
--------------------------------------------------------------------------------
0	0.000000e+00	6.749150e-25	0.000000e+00	-6.74915e-22	
1	1.000000e-07	-1.80694e-09	3.141592e-03	1.806942e-06	
2	2.000000e-07	-3.84694e-09	6.283184e-03	3.846938e-06	
3	4.000000e-07	-8.75000e-09	1.256636e-02	8.750002e-06	
4	8.000000e-07	-2.29608e-08	2.513264e-02	2.296082e-05	
5	1.600000e-06	-8.34348e-08	5.026464e-02	8.343477e-05	
6	3.200000e-06	-6.51295e-07	1.005242e-01	6.512948e-04	
7	6.400000e-06	-1.71177e-05	2.010077e-01	1.711773e-02	
8	1.280000e-05	-1.60008e-04	4.016905e-01	1.600077e-01	
9	2.280000e-05	-4.45656e-04	7.138357e-01	4.456556e-01	
10	3.280000e-05	-7.41663e-04	1.023164e+00	7.416630e-01	
11	4.280000e-05	-1.03800e-03	1.328454e+00	1.037995e+00	
12	5.280000e-05	-1.33185e-03	1.628501e+00	1.331851e+00	
13	6.280000e-05	-1.62053e-03	1.922121e+00	1.620526e+00	
14	7.280000e-05	-1.90243e-03	2.208156e+00	1.902430e+00	
15	8.280000e-05	-2.17628e-03	2.485476e+00	2.176276e+00	
16	9.280000e-05	-2.44082e-03	2.752987e+00	2.440823e+00	
17	1.028000e-04	-2.69491e-03	3.009633e+00	2.694910e+00	
18	1.128000e-04	-2.93745e-03	3.254401e+00	2.937450e+00	
19	1.228000e-04	-3.16743e-03	3.486326e+00	3.167426e+00	
20	1.328000e-04	-3.38388e-03	3.704492e+00	3.383883e+00	
21	1.428000e-04	-3.58593e-03	3.908038e+00	3.585929e+00	
22	1.528000e-04	-3.77274e-03	4.096161e+00	3.772738e+00	
23	1.628000e-04	-3.94355e-03	4.268118e+00	3.943550e+00	
24	1.728000e-04	-4.09767e-03	4.423230e+00	4.097671e+00	
25	1.828000e-04	-4.23448e-03	4.560887e+00	4.234478e+00	
26	1.928000e-04	-4.35342e-03	4.680543e+00	4.353419e+00	
27	2.028000e-04	-4.45401e-03	4.781728e+00	4.454012e+00	
28	2.128000e-04	-4.53585e-03	4.864041e+00	4.535855e+00	
29	2.228000e-04	-4.59862e-03	4.927158e+00	4.598616e+00	
30	2.328000e-04	-4.64205e-03	4.970830e+00	4.642045e+00	
31	2.428000e-04	-4.66597e-03	4.994884e+00	4.665967e+00	
32	2.528000e-04	-4.67028e-03	4.999226e+00	4.670284e+00	
33	2.628000e-04	-4.65498e-03	4.983838e+00	4.654981e+00	
34	2.728000e-04	-4.62012e-03	4.948782e+00	4.620119e+00	
35	2.828000e-04	-4.56584e-03	4.894194e+00	4.565837e+00	
36	2.928000e-04	-4.49235e-03	4.820292e+00	4.492354e+00	
37	3.028000e-04	-4.39997e-03	4.727366e+00	4.399966e+00	
38	3.128000e-04	-4.28904e-03	4.615783e+00	4.289043e+00	
39	3.228000e-04	-4.16003e-03	4.485984e+00	4.160034e+00	
40	3.328000e-04	-4.01346e-03	4.338480e+00	4.013459e+00	
41	3.428000e-04	-3.84991e-03	4.173855e+00	3.849909e+00	
42	3.528000e-04	-3.67005e-03	3.992757e+00	3.670049e+00	
43	3.628000e-04	-3.47461e-03	3.795902e+00	3.474609e+00	
44	3.728000e-04	-3.26439e-03	3.584066e+00	3.264387e+00	
45	3.828000e-04	-3.04025e-03	3.358086e+00	3.040246e+00	
